# RD|Action Code|State Code|County Code|Site ID|Parameter|POC|Sample Duration|Unit|Method|Date|Start Time|Sample Value|Null Data Code|Sampling Frequency|Monitor Protocol (MP) ID|Qualifier - 1|Qualifier - 2|Qualifier - 3|Qualifier - 4|Qualifier - 5|Qualifier - 6|Qualifier - 7|Qualifier - 8|Qualifier - 9|Qualifier - 10|Alternate Method Detectable Limit|Uncertainty
# RC|Action Code|State Code|County Code|Site ID|Parameter|POC|Unit|Method|Year|Period|Number of Samples|Composite Type|Sample Value|Monitor Protocol (MP) ID|Qualifier - 1|Qualifier - 2|Qualifier - 3|Qualifier - 4|Qualifier - 5|Qualifier - 6|Qualifier - 7|Qualifier - 8|Qualifier - 9|Qualifier - 10|Alternate Method Detectable Limit|Uncertainty
RD|I|13|089|0003|14129|1|7|105|110|20100508|00:00|0.00260||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20100514|00:00|0.00330||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20100520|00:00|0.00610||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20100526|00:00|0.00260||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20100601|00:00|0.00330||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20100607|00:00|0.00220||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20100613|00:00|0.00240||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20100619|00:00|0.00270||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20100625|00:00|0.00270||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20100701|00:00||AG|6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20100707|00:00||AG|6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20100713|00:00||AG|6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20100719|00:00||AG|6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20100725|00:00||AG|6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20100731|00:00|0.00260||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20100806|00:00||AG|6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20100812|00:00||AG|6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20100818|00:00||AG|6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20100824|00:00||AG|6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20100830|00:00||AG|6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20100905|00:00||AG|6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20100911|00:00|0.00230||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20100917|00:00||AG|6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20100923|00:00|0.00270||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20100929|00:00|0.00240||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20101005|00:00|0.00340||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20101011|00:00|0.00520||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20101017|00:00|0.00450||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20101023|00:00|0.00400||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20101029|00:00|0.00680||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20101104|00:00|0.00200||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20101110|00:00|0.00480||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20101116|00:00|0.00160||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20101122|00:00|0.00310||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20101128|00:00|0.00390||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20101204|00:00|0.00540||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20101210|00:00|0.00500||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20101216|00:00|0.00200||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20101222|00:00|0.00360||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20101228|00:00|0.00370||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20110103|00:00|0.00310||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20110109|00:00|0.00210||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20110115|00:00|0.00480||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20110121|00:00|0.00250||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20110127|00:00|0.00560||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20110202|00:00|0.00230||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20110208|00:00|0.00220||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20110214|00:00|0.00420||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20110220|00:00|0.00380||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20110226|00:00|0.00270||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20110304|00:00|0.00320||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20110310|00:00|0.00160||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20110316|00:00|0.00270||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20110322|00:00|0.00330||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20110328|00:00|0.00130||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20110403|00:00|0.00220||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20110409|00:00|0.00370||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20110415|00:00|0.00410||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20110421|00:00|0.00530||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20110427|00:00|0.00160||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20110503|00:00|0.00200||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20110509|00:00||AN|6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20110515|00:00|0.00180||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20110521|00:00|0.00420||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20110527|00:00|0.00210||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20110602|00:00|0.00550||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20110608|00:00|0.00440||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20110614|00:00|0.01500||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20110620|00:00|0.00700||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20110626|00:00|0.00190||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20110702|00:00|0.00380||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20110708|00:00|0.00370||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20110714|00:00|0.00230||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20110720|00:00|0.00410||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20110726|00:00|0.00250||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20110801|00:00|0.00200||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20110807|00:00|0.00330||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20110813|00:00|0.00280||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20110819|00:00|0.00420||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20110825|00:00|0.00250||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20110831|00:00|0.00120||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20110906|00:00|0.00120||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20110912|00:00|0.00640||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20110918|00:00|0.00210||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20110924|00:00|0.00350||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20110930|00:00|0.00300||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20111006|00:00|0.00350||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20111012|00:00|0.00240||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20111018|00:00|0.00240||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20111024|00:00|0.00490||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20111030|00:00|0.00370||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20111106|00:00|0.00270||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20111111|00:00|0.00330||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20111117|00:00|0.00330||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20111123|00:00|0.00200||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20111129|00:00|0.00280||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20111205|00:00|0.00320||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20111211|00:00|0.00260||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20111217|00:00|0.00190||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20111223|00:00|0.00170||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20111229|00:00|0.00520||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20120104|00:00|0.00520||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20120110|00:00|0.00210||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20120116|00:00|0.00370||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20120122|00:00|0.00210||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20120128|00:00|0.00450||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20120203|00:00|0.00310||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20120209|00:00|0.00560||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20120215|00:00|0.00360||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20120221|00:00|0.00190||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20120227|00:00|0.00290||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20120304|00:00|0.00250||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20120310|00:00|0.00360||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20120316|00:00|0.00250||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20120322|00:00|0.00250||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20120328|00:00|0.00360||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20120403|00:00|0.00340||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20120409|00:00|0.00680||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20120415|00:00|0.00310||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20120421|00:00|0.00260||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20120427|00:00|0.00600||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20120503|00:00|0.00190||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20120509|00:00||AG|6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20120515|00:00|0.00180||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20120521|00:00|0.00450||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20120527|00:00|0.00240||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20120602|00:00|0.00190||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20120608|00:00|0.00260||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20120614|00:00|0.00220||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20120620|00:00|0.00560||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20120626|00:00|0.00300||6|||||||||||||
